Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-18,MIN,DEN,1,-11,31.4,9,4,7,4,0,0,0,4,2,2,0,1,3,12,0
2026-04-20,MIN,DEN,1,5,30.57,9,6,7,4,0,2,0,7,6,1,0,2,3,16,20
2026-04-23,MIN,DEN,0,17,32.9,13,6,8,3,0,0,0,4,7,4,0,1,4,15,20
